Id;ProductName;CategoryId;CategoryName;AveragePrice
5782;Cukier, słodziki 89;2;Artykuły spożywcze;3.44
5783;Podpaski, tampony, wkładki 197;5;Niespożywcze;3.69
5784;Karma dla psa mokra puszki 75;5;Niespożywcze;2.99
5785;Hot-dog 70;6;Żabka Cafe;3.04
5786;Bułka zwykła 16;12;Pieczywo;1.92
5788;Piwo jasne mainstream puszka 68;13;Piwo;2.99
5789;Hot-dog 93;6;Żabka Cafe;4.99
5790;Makarony 628;2;Artykuły spożywcze;4.13
5791;Pozostały fast food 13;10;Dania gotowe;4.99
5792;Wódki gatunkowe mainstream do 0,5 L 17;1;Alkohol;23.17
5794;Fast-food pozostałe 47;6;Żabka Cafe;4.92
5795;Kawa rozpuszczalna do 100 g 11;2;Artykuły spożywcze;13.86
5796;Soki i nektary powyżej 0,5 L 310;11;Napoje;3.19
5797;Wypieki regionalne REG 32;6;Żabka Cafe;1.97
5798;Woda niegazowana smakowa do 1 L 57;11;Napoje;2.29
5800;Akcesoria do sprzątania 246;5;Niespożywcze;6.95
5801;Wódki gatunkowe mainstream do 0,1 L 61;1;Alkohol;5.95
5802;Produkty rozmrażane nieodpiekane 89;6;Żabka Cafe;1.98
5804;Żelki, żujki, pianki 165;15;Słodycze;2.89
5805;Niespożywcze REG 40;5;Niespożywcze;2.99
5806;Piwo jasne mainstream butelka 79;13;Piwo;3.47
5807;Pozostałe wędliny luz 178;17;Spożywka świeża;5.17
5808;Konserwy mięsne 1089;2;Artykuły spożywcze;2.97
5809;Makarony, ryże, kasze, strączkowe EKO 4;2;Artykuły spożywcze;7.99
5810;Znicze, wkłady 14;5;Niespożywcze;2.07
5811;Pasty do zębów 190;5;Niespożywcze;7.92
5812;Chleb gatunkowy 429;12;Pieczywo;3.65
5813;Piwo smakowe butelka 28;13;Piwo;4.73
5814;Warzywa korzeniowe 1;18;Warzywa & Owoce & Rośliny;2.30
5816;Lody do 500ml 68;21;Lody;10.99
5817;Herbaty, zioła EKO 3;2;Artykuły spożywcze;15.99
5818;Sery żółte kostka 126;17;Spożywka świeża;7.44
5819;Grill 37;5;Niespożywcze;5.99
